"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,03.01.2020,11:41:00,89.110,89.135,89.100,89.120,8931
ABBV,NYSE,03.01.2020,11:42:00,89.130,89.140,89.120,89.125,8150
ABBV,NYSE,03.01.2020,11:43:00,89.120,89.180,89.107,89.180,17515
ABBV,NYSE,03.01.2020,11:44:00,89.173,89.230,89.170,89.230,12793
ABBV,NYSE,03.01.2020,11:45:00,89.220,89.250,89.210,89.250,8466
ABBV,NYSE,03.01.2020,11:46:00,89.240,89.310,89.240,89.295,8898
ABBV,NYSE,03.01.2020,11:47:00,89.300,89.300,89.220,89.225,19596
ABBV,NYSE,03.01.2020,11:48:00,89.225,89.230,89.210,89.214,14017
ABBV,NYSE,03.01.2020,11:49:00,89.220,89.269,89.220,89.268,7290
ABBV,NYSE,03.01.2020,11:50:00,89.265,89.285,89.250,89.270,11901
ABBV,NYSE,03.01.2020,11:51:00,89.265,89.300,89.260,89.260,13686
ABBV,NYSE,03.01.2020,11:52:00,89.255,89.275,89.213,89.275,17132
ABBV,NYSE,03.01.2020,11:53:00,89.281,89.290,89.250,89.290,28821
ABBV,NYSE,03.01.2020,11:54:00,89.295,89.355,89.295,89.345,6431
ABBV,NYSE,03.01.2020,11:55:00,89.340,89.368,89.330,89.365,4739
ABBV,NYSE,03.01.2020,11:56:00,89.360,89.370,89.300,89.330,9495
ABBV,NYSE,03.01.2020,11:57:00,89.290,89.290,89.240,89.245,12776
ABBV,NYSE,03.01.2020,11:58:00,89.240,89.249,89.120,89.121,7724
ABBV,NYSE,03.01.2020,11:59:00,89.125,89.130,89.045,89.116,18265
ABBV,NYSE,03.01.2020,12:00:00,89.115,89.175,89.115,89.160,5367
ABBV,NYSE,03.01.2020,12:01:00,89.160,89.165,89.110,89.165,6500
ABBV,NYSE,03.01.2020,12:02:00,89.170,89.280,89.170,89.270,14345
ABBV,NYSE,03.01.2020,12:03:00,89.270,89.320,89.260,89.260,10845
ABBV,NYSE,03.01.2020,12:04:00,89.250,89.290,89.240,89.260,7676
ABBV,NYSE,03.01.2020,12:05:00,89.265,89.280,89.200,89.250,17757
ABBV,NYSE,03.01.2020,12:06:00,89.239,89.280,89.239,89.260,22551
ABBV,NYSE,03.01.2020,12:07:00,89.270,89.280,89.230,89.250,24367
ABBV,NYSE,03.01.2020,12:08:00,89.260,89.310,89.250,89.250,13006
ABBV,NYSE,03.01.2020,12:09:00,89.240,89.248,89.140,89.161,4644
ABBV,NYSE,03.01.2020,12:10:00,89.160,89.181,89.140,89.170,4823
ABBV,NYSE,03.01.2020,12:11:00,89.160,89.220,89.160,89.217,2902
ABBV,NYSE,03.01.2020,12:12:00,89.209,89.210,89.200,89.200,2830
ABBV,NYSE,03.01.2020,12:13:00,89.200,89.209,89.120,89.120,3800
ABBV,NYSE,03.01.2020,12:14:00,89.115,89.115,89.040,89.060,5457
ABBV,NYSE,03.01.2020,12:15:00,89.045,89.070,89.045,89.051,9697
ABBV,NYSE,03.01.2020,12:16:00,89.055,89.090,89.055,89.080,4788
ABBV,NYSE,03.01.2020,12:17:00,89.095,89.160,89.095,89.135,5632
ABBV,NYSE,03.01.2020,12:18:00,89.140,89.210,89.140,89.210,10035
ABBV,NYSE,03.01.2020,12:19:00,89.230,89.230,89.190,89.215,3888
ABBV,NYSE,03.01.2020,12:20:00,89.220,89.230,89.194,89.194,5207
ABBV,NYSE,03.01.2020,12:21:00,89.196,89.196,89.140,89.170,2591
ABBV,NYSE,03.01.2020,12:22:00,89.170,89.204,89.140,89.204,4763
ABBV,NYSE,03.01.2020,12:23:00,89.205,89.211,89.190,89.200,4426
ABBV,NYSE,03.01.2020,12:24:00,89.205,89.230,89.205,89.210,6714
ABBV,NYSE,03.01.2020,12:25:00,89.220,89.270,89.220,89.265,10363
ABBV,NYSE,03.01.2020,12:26:00,89.265,89.270,89.229,89.229,4154
ABBV,NYSE,03.01.2020,12:27:00,89.220,89.290,89.220,89.290,5389
ABBV,NYSE,03.01.2020,12:28:00,89.300,89.350,89.280,89.340,5745
ABBV,NYSE,03.01.2020,12:29:00,89.345,89.380,89.330,89.380,9902
ABBV,NYSE,03.01.2020,12:30:00,89.380,89.390,89.290,89.290,4021
ABBV,NYSE,03.01.2020,12:31:00,89.270,89.280,89.233,89.250,8900
ABBV,NYSE,03.01.2020,12:32:00,89.260,89.260,89.225,89.235,4824
ABBV,NYSE,03.01.2020,12:33:00,89.240,89.330,89.240,89.320,5817
ABBV,NYSE,03.01.2020,12:34:00,89.330,89.350,89.310,89.345,4629
ABBV,NYSE,03.01.2020,12:35:00,89.350,89.355,89.310,89.310,4473
ABBV,NYSE,03.01.2020,12:36:00,89.340,89.343,89.300,89.310,4096
ABBV,NYSE,03.01.2020,12:37:00,89.310,89.320,89.270,89.280,2545
ABBV,NYSE,03.01.2020,12:38:00,89.295,89.315,89.270,89.270,2103
ABBV,NYSE,03.01.2020,12:39:00,89.265,89.285,89.265,89.280,5028
